Datetime,Text,Username,Retweets,Location,Hashtags
17:12:31 23:54:51,#HappyNewYear2018 All the way from #CapeTown #RSA #Fireworks2018 #Canon @CapeTownMag @CapeTown #Mandela @CityofCT @WesternCapeGov https://t.co/EknRXXmqqK,doubleST_,1,"Cape Town, South Africa","['HappyNewYear2018', 'CapeTown', 'RSA', 'Fireworks2018', 'Canon', 'Mandela']"
17:12:31 23:25:03,Thought Factory (new): Patronage Politics in #RSA #leadership #politics #ANC Î£1 https://t.co/x1AtKpvOHi,ThoughtFactoryQ,0,"Cape Town, South Africa","['RSA', 'leadership', 'politics', 'ANC']"
17:12:31 23:05:09,Thought Factory: The DA's Ideological Schizophrenia #DA #leadership #politics #RSA #HelenZille Î£1 https://t.co/XULGJUraDp,ThoughtFactoryQ,0,"Cape Town, South Africa","['DA', 'leadership', 'politics', 'RSA', 'HelenZille']"
17:12:31 22:58:49,@sandrafine2b Thank you Sandra @sandrafine2b. #RSA #SouthAfrica ðŸ‡¿ðŸ‡¦ðŸ‡¬ðŸ‡§ #SuidAfrika #Suid-#Afrika,BrexitLondon,1,"On GAB, Parler. I Follow Back.","['RSA', 'SouthAfrica', 'SuidAfrika', 'Suid', 'Afrika']"
17:12:31 22:57:24,#Dankie Sandra @sandrafine2b. ðŸ‡¿ðŸ‡¦ðŸ‡¬ðŸ‡§#RSA #SouthAfrica #Africa https://t.co/oMeMT6uv50,BrexitLondon,1,"On GAB, Parler. I Follow Back.","['Dankie', 'RSA', 'SouthAfrica', 'Africa']"
17:12:31 22:55:07,Thought Factory (new): The â€˜Thief-in-Chiefâ€™ #RSA #Zuma #corruption #ANC #leadership Î£0 https://t.co/p6zgqrx9yJ,ThoughtFactoryQ,0,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
17:12:31 22:10:04,New - Business Day: Changing the system for sustainable development #sustainability #RSA Î£00 https://t.co/izEpAkp2Dp,ThoughtFactoryQ,0,"Cape Town, South Africa","['sustainability', 'RSA']"
17:12:31 22:08:07,Seven more die on KZN roads https://t.co/98ruR6PaBj #RSA #SouthAfrica,RSAzaNet,0,,"['RSA', 'SouthAfrica']"
17:12:31 22:04:11,From #London #UK: Wishing South #Africa ðŸ‡¿ðŸ‡¦ a very Happy New Year. #RSA #SouthAfrica has just entered 2018. (#HappyNewYear2018 #HappyNewYear) #Jabulela #unyaka #Omusha #Nyakhomtsha #Gelukkige #Nuwe #Jaar https://t.co/piV3MESb69,BrexitLondon,1,"On GAB, Parler. I Follow Back.","['London', 'UK', 'Africa', 'RSA', 'SouthAfrica', 'HappyNewYear2018', 'HappyNewYear', 'Jabulela', 'unyaka', 'Omusha', 'Nyakhomtsha', 'Gelukkige', 'Nuwe', 'Jaar']"
17:12:31 22:00:30,Thought Factory (new): Patronage Politics in #RSA #leadership #politics #ANC Î£0 https://t.co/x1AtKpvOHi,ThoughtFactoryQ,0,"Cape Town, South Africa","['RSA', 'leadership', 'politics', 'ANC']"
17:12:31 21:57:47,"At 10.00pm GMT, #RSA (South Africa) will enter 2018, therefore would like to wish @GertFITNESS, @HOLLYWOODTARZAN, his broither Rudolf and Jean a Gelukkige Nuwe Jaar https://t.co/nclhGViPUt",HarryHayfield,0,"Llanrhystud, Wales",['RSA']
17:12:31 23:42:12,"Should ConCourt side with opposition, will MPs vote to impeach #Zuma? https://t.co/TsZpFHabUS",SchoolNGRclass,0,"Lagos, Nigeria",['Zuma']
17:12:31 23:08:11,@nkonzy @ANN7tv @The_New_Age @Julius_S_Malema There is only seats for x amount of students in existing universities. If #zuma wants to provide #FreeEducation he should have ensured that new universities were built to support his grandiose plans. This was just cheap politicking on his part. Wld be great to see the end of him,hudkr,0,Joburg,"['zuma', 'FreeEducation']"
17:12:31 22:55:07,Thought Factory (new): The â€˜Thief-in-Chiefâ€™ #RSA #Zuma #corruption #ANC #leadership Î£0 https://t.co/p6zgqrx9yJ,ThoughtFactoryQ,0,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
17:12:31 22:54:09,"No 1. Don't you mean the Zuptas? @Magda_Wierzycka 

PS  Happy New Year and thank you for your bit in fighting corruption 

#ZumaImpeachment
#Khoisan
#CR17 #ANC54 #LandExpropriation #ANCConference #Zuma #EFF #CyrilRamaphosa https://t.co/BA4Whzl44U",fabfol1,1,,"['ZumaImpeachment', 'Khoisan', 'CR17', 'ANC54', 'LandExpropriation', 'ANCConference', 'Zuma', 'EFF', 'CyrilRamaphosa']"
17:12:31 22:51:41,If we overcame 2017 with #Zuma 2018 will be easy without him #ANCFireZuma,mutlanyana_t,0," Jo'burg. Gauteng, RSA","['Zuma', 'ANCFireZuma']"
17:12:31 22:41:49,"Read Frank Chikane's book. I'm inspired, again, about public service #Zuma #cyrilramaphosa",naidooinc,0,"Pretoria, South Africa","['Zuma', 'cyrilramaphosa']"
17:12:31 22:02:46,For all my followers in SA. Happy New Years from Jacob #Zuma https://t.co/duLugc0Xld,GreggRobertson5,0,United Kingdom,['Zuma']
17:12:31 21:45:40,Concourt to deliver judgment on #Zuma impeachment bid https://t.co/xpS2LO10Y0,SchoolNGRclass,0,"Lagos, Nigeria",['Zuma']
17:12:31 21:00:03,#zuma speak - empty sound byte - telling us same sh*t  he did years ago - we are. Poorer because of this thief #2018,meginafricas,0,Johannesburg South Africa,['zuma']
17:12:31 20:53:47,#2018 let it be year we South Africa show we are worthy of Nelson Mandela -let the #Nkandla thief fall -#zuma  #Zupta must go -#ZumaMustFall,meginafricas,0,Johannesburg South Africa,"['Nkandla', 'zuma', 'Zupta', 'ZumaMustFall']"
17:12:31 20:37:03,#Impeachment #NewYearsResolutions #Trump #Zuma https://t.co/GUOD1tImk7,citrusramaphosa,0,,"['Impeachment', 'NewYearsResolutions', 'Trump', 'Zuma']"
17:12:31 23:59:14,"@DoctorWho_BBCA #NewYearsResolutions May #DoctorWhoâ€™s advice help shape your resolutions for #2018! May 2018 be truly a year of #regeneration for each one of us. The species, the world cannot afford any further degeneration and #corruption. #HappyNewYear to all my followers! Pace e bene!",AlbertFiorino,1,"Toronto, Canada","['NewYearsResolutions', 'DoctorWho', 'regeneration', 'corruption', 'HappyNewYear']"
17:12:31 23:53:18,"2018 will be remembered has the year when EVERYTHING changed: money #bitcoin , space #Extraterrestrial, politics #corruption, medicine #vaccination , and much more... Fasten your seat belt, it is going to be a rocky ride!",lifemechanik,0,,"['bitcoin', 'Extraterrestrial', 'corruption', 'vaccination']"
17:12:31 23:49:49,"#ArrestTomCotton
#ArrestBenjaminNetanyahu
#corruption / #bribery
#IranWar
#TrumpCIA

#NoIranWar
#FreeBobLevinson
#Arrestivus https://t.co/uQ3U7O7Tho",Jory_Nal,0,Upper Canada,"['ArrestTomCotton', 'ArrestBenjaminNetanyahu', 'corruption', 'bribery', 'IranWar', 'TrumpCIA', 'NoIranWar', 'FreeBobLevinson', 'Arrestivus']"
17:12:31 23:40:44,@thehill I say protect Americans from #Corruption in the #Courts.  Stop #politicalprisoners.,KeltonPrisbrey,0," St. George, Utah ","['Corruption', 'Courts', 'politicalprisoners']"
17:12:31 23:33:25,"Good luck for 2018 to all the dedicated folk doing their best to beat #climatechange #plasticpollution, #extinction,  #corruption and myriad of other catastrophic issues. Everything is political so elect environmentally literate politicians #votegreen local, state and national.",BillHarvey6,4,"Hobart, Tasmania","['climatechange', 'plasticpollution', 'extinction', 'corruption', 'votegreen']"
17:12:31 23:33:13,@smcosta1969 @JohnKerry I'm pretty sure he knows. More #dishonest #corruption. Isn't his daughter actually married to an Iranian? #HappyNewYear,Robdepamd,1,United States,"['dishonest', 'corruption', 'HappyNewYear']"
17:12:31 23:26:42,#NetEase #NewYearsEve2018 #China #Putin #Russia #Navalny #news #corruption https://t.co/HwL4DyOGr7,Adunaiii,0,,"['NetEase', 'NewYearsEve2018', 'China', 'Putin', 'Russia', 'Navalny', 'news', 'corruption']"
17:12:31 23:23:55,"@lacasadesonia Hero vs. heel. 
#Treason #Corruption #Collusion #Blackmail #ImpeachTrumpPenceNOW",StephenWunderl4,0,"Seattle, WA","['Treason', 'Corruption', 'Collusion', 'Blackmail', 'ImpeachTrumpPenceNOW']"
17:12:31 23:15:36,@iyad_elbaghdadi @nickgillespie We all need to stand united or the ones that speak up get targeted arrested #corruption needs to be stop and #constitution upheld.  We need to look inward as well @realDonaldTrump,KeltonPrisbrey,0," St. George, Utah ","['corruption', 'constitution']"
17:12:31 23:12:00,@Reuters Chief Justice needs to order review of #Justice and #Corruption in all states especially #Utah https://t.co/Qnigd7FJzI,KeltonPrisbrey,0," St. George, Utah ","['Justice', 'Corruption', 'Utah']"
17:12:31 23:10:38,#QAnon #Black #Swan #White #Hat the saga of #Ambassador Lee #Wanta http:// https://t.co/V2tJb06tjZ A tail of #corruption #sedition #financial manipulation,wavetossed,0,"Vancouver, BC","['QAnon', 'Black', 'Swan', 'White', 'Hat', 'Ambassador', 'Wanta', 'corruption', 'sedition', 'financial']"
